epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4989.63,1.37175,0.61875,0.96127,0.90076,0.83114,0.88092,0.53512,1.32722,inf,0.96387,0.0005842,0.0005842,0.0005842
44,5102.89,1.3658,0.61484,0.96007,0.9005,0.82997,0.87939,0.534,1.32683,inf,0.96364,0.0005743,0.0005743,0.0005743
45,5234.61,1.36038,0.61122,0.95864,0.90009,0.83034,0.88021,0.53569,1.32493,inf,0.96365,0.0005644,0.0005644,0.0005644
46,5351.63,1.36137,0.61213,0.95864,0.90199,0.82646,0.87803,0.53494,1.32446,inf,0.96401,0.0005545,0.0005545,0.0005545
47,5469.33,1.35701,0.60845,0.95823,0.90295,0.82839,0.87939,0.53659,1.3234,inf,0.96267,0.0005446,0.0005446,0.0005446
48,5586.64,1.36319,0.61121,0.95815,0.90331,0.82875,0.88111,0.53671,1.32446,inf,0.96293,0.0005347,0.0005347,0.0005347
49,5702.52,1.35819,0.60871,0.95763,0.90288,0.82959,0.8798,0.53556,1.324,inf,0.96286,0.0005248,0.0005248,0.0005248
50,5819.71,1.36377,0.61101,0.95833,0.90526,0.82868,0.8813,0.53616,1.32496,inf,0.96297,0.0005149,0.0005149,0.0005149
51,5935.62,1.35829,0.60942,0.9566,0.90515,0.83003,0.88246,0.53844,1.32052,inf,0.96108,0.000505,0.000505,0.000505
52,6054.61,1.35491,0.6065,0.95767,0.90475,0.82882,0.88099,0.5379,1.32253,inf,0.9623,0.0004951,0.0004951,0.0004951
53,6171.43,1.35703,0.60665,0.95562,0.90563,0.83045,0.88223,0.53827,1.32163,inf,0.96196,0.0004852,0.0004852,0.0004852
54,6287.14,1.3546,0.60542,0.95688,0.9055,0.83058,0.88152,0.53865,1.32008,inf,0.96193,0.0004753,0.0004753,0.0004753
55,6403.82,1.35675,0.60564,0.95809,0.90588,0.82935,0.88142,0.53815,1.32099,inf,0.96146,0.0004654,0.0004654,0.0004654
56,6527.51,1.35348,0.6032,0.9538,0.90367,0.83201,0.88215,0.53914,1.31861,inf,0.96065,0.0004555,0.0004555,0.0004555
57,6644.02,1.35166,0.60058,0.95478,0.90396,0.83219,0.88204,0.53838,1.32054,inf,0.962,0.0004456,0.0004456,0.0004456
58,6760.12,1.35362,0.60227,0.95487,0.90653,0.8313,0.88194,0.53862,1.32066,inf,0.96148,0.0004357,0.0004357,0.0004357
59,6878.72,1.35201,0.60078,0.95422,0.90547,0.83028,0.88018,0.53823,1.3188,inf,0.96139,0.0004258,0.0004258,0.0004258
60,6984.82,1.35088,0.60181,0.95679,0.90439,0.83377,0.88162,0.53974,1.31787,inf,0.96039,0.0004159,0.0004159,0.0004159
61,7086.49,1.34523,0.59819,0.95349,0.90623,0.83245,0.88282,0.53907,1.31879,inf,0.96122,0.000406,0.000406,0.000406
62,7188.93,1.34898,0.59829,0.95301,0.9053,0.83297,0.88179,0.54032,1.31735,inf,0.96044,0.0003961,0.0003961,0.0003961
63,7284.82,1.34531,0.59718,0.95263,0.9078,0.83172,0.88225,0.5402,1.3177,inf,0.96042,0.0003862,0.0003862,0.0003862
64,7374.7,1.34447,0.59673,0.95296,0.90584,0.83269,0.88312,0.54079,1.31798,inf,0.96084,0.0003763,0.0003763,0.0003763
65,7465.52,1.34866,0.59832,0.95377,0.90615,0.83269,0.88199,0.54028,1.31675,inf,0.96056,0.0003664,0.0003664,0.0003664
66,7554.4,1.34629,0.59631,0.95398,0.90611,0.83323,0.88293,0.54103,1.31598,inf,0.96006,0.0003565,0.0003565,0.0003565
